Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric,128.0,-83.5,90.0,top
C2,C,C_0603_1608Metric,126.0,-83.5,90.0,top
C3,C,C_0603_1608Metric,124.0,-83.5,90.0,top
C4,C,C_0603_1608Metric,122.0,-83.5,90.0,top
C5,100n,C_0603_1608Metric,159.0,-84.0,180.0,top
J1,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,80.7394,-86.0756,0.0,bottom
J2,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,167.2794,-86.0656,0.0,bottom
Q1,AO3400A,SOT-23,97.5,-78.0,90.0,top
Q2,AO3401A,SOT-23,152.5,-77.5,90.0,top
R1,10k,R_0603_1608Metric,138.5,-89.0,180.0,top
R2,10k,R_0603_1608Metric,111.825,-89.0,180.0,top
R3,10k,R_0603_1608Metric,138.5,-91.0,180.0,top
R4,10k,R_0603_1608Metric,138.5,-93.0,180.0,top
R5,10k,R_0603_1608Metric,138.5,-95.0,180.0,top
R6,10k,R_0603_1608Metric,111.825,-91.0,180.0,top
R7,10k,R_0603_1608Metric,111.825,-93.0,180.0,top
R8,10k,R_0603_1608Metric,111.825,-95.0,180.0,top
R9,10k,R_0603_1608Metric,155.5,-77.0,90.0,top
R10,10k,R_0603_1608Metric,97.5,-75.0625,180.0,top
R11,0,R_0402_1005Metric,86.8426,-94.4626,90.0,bottom
R12,0,R_0402_1005Metric,86.8426,-91.9226,90.0,bottom
R13,0,R_0402_1005Metric,86.8426,-89.3826,90.0,bottom
R14,0,R_0402_1005Metric,86.8426,-86.8172,90.0,bottom
R15,0,R_0402_1005Metric,86.8426,-84.3026,90.0,bottom
R16,0,R_0402_1005Metric,86.8426,-81.7626,90.0,bottom
R17,0,R_0402_1005Metric,86.8426,-79.2226,90.0,bottom
R18,0,R_0402_1005Metric,86.8426,-76.6826,90.0,bottom
R19,0,R_0402_1005Metric,84.6836,-94.4626,90.0,bottom
R20,0,R_0402_1005Metric,84.6836,-91.9226,90.0,bottom
R21,0,R_0402_1005Metric,84.6836,-89.3826,90.0,bottom
R22,0,R_0402_1005Metric,84.6836,-86.8172,90.0,bottom
R23,0,R_0402_1005Metric,84.6836,-84.3026,90.0,bottom
R24,0,R_0402_1005Metric,84.6836,-81.7626,90.0,bottom
R25,0,R_0402_1005Metric,84.6836,-79.2226,90.0,bottom
R26,0,R_0402_1005Metric,84.6836,-76.6826,90.0,bottom
SW1,SW_DIP_x04,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.5,125.0,-77.0,180.0,top
SW2,SW_DIP_x04,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.5,145.0,-92.0,90.0,top
SW3,SW_DIP_x04,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.5,105.0,-92.0,-90.0,top
SW4,SW_Push,SW_SPST_SKQG_WithStem,105.0,-77.0,180.0,top
SW5,SW_Push,SW_SPST_SKQG_WithStem,145.0,-77.0,0.0,top
U1,LM321,SOT-23-5,159.0,-87.0,180.0,top
