Comment,Designator,Footprint,LCSC
L293D,U1,SOIC-16W_5.3x10.2mm_P1.27mm,
100n,C1,C_0603_1608Metric,
Conn_01x04_Socket,J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
100n,C2,C_0603_1608Metric,
4u7,C3,CP_Elec_6.3x5.2,
0,R4,R_0402_1005Metric,
0,R10,R_0402_1005Metric,
0,R25,R_0402_1005Metric,
0,R22,R_0402_1005Metric,
0,R6,R_0402_1005Metric,
0,R1,R_0402_1005Metric,
0,R12,R_0402_1005Metric,
0,R2,R_0402_1005Metric,
0,R34,R_0402_1005Metric,
0,R15,R_0402_1005Metric,
0,R37,R_0402_1005Metric,
0,R21,R_0402_1005Metric,
0,R13,R_0402_1005Metric,
0,R29,R_0402_1005Metric,
0,R33,R_0402_1005Metric,
0,R9,R_0402_1005Metric,
0,R30,R_0402_1005Metric,
0,R17,R_0402_1005Metric,
0,R5,R_0402_1005Metric,
0,R27,R_0402_1005Metric,
0,R18,R_0402_1005Metric,
0,R39,R_0402_1005Metric,
0,R7,R_0402_1005Metric,
0,R35,R_0402_1005Metric,
Conn_02x08_Odd_Even,J3,PinHeader_2x08_P2.54mm_Vertical,
0,R11,R_0402_1005Metric,
0,R3,R_0402_1005Metric,
0,R40,R_0402_1005Metric,
0,R14,R_0402_1005Metric,
0,R20,R_0402_1005Metric,
0,R23,R_0402_1005Metric,
0,R24,R_0402_1005Metric,
0,R36,R_0402_1005Metric,
Conn_02x10_Odd_Even,J2,PinHeader_2x10_P2.54mm_Vertical,
0,R28,R_0402_1005Metric,
0,R31,R_0402_1005Metric,
0,R8,R_0402_1005Metric,
0,R16,R_0402_1005Metric,
0,R19,R_0402_1005Metric,
0,R26,R_0402_1005Metric,
0,R32,R_0402_1005Metric,
0,R38,R_0402_1005Metric,
