Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,129.6316,-90.1092,0.0,top
C2,100n,C_0603_1608Metric,119.8626,-101.8794,-90.0,top
C3,4u7,CP_Elec_6.3x5.2,128.8128,-83.937,90.0,top
J1,Conn_01x04_Socket,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,134.4576,-96.7132,90.0,top
J2,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,102.260546,-98.220546,0.0,bottom
J3,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,188.800546,-98.210546,0.0,bottom
R1,0,R_0402_1005Metric,116.228527,-106.556746,90.0,bottom
R2,0,R_0402_1005Metric,116.228527,-104.067546,90.0,bottom
R3,0,R_0402_1005Metric,116.228527,-101.527546,90.0,bottom
R4,0,R_0402_1005Metric,116.228527,-98.987546,90.0,bottom
R5,0,R_0402_1005Metric,116.228527,-96.447546,90.0,bottom
R6,0,R_0402_1005Metric,116.228527,-93.907546,90.0,bottom
R7,0,R_0402_1005Metric,116.228527,-91.367546,90.0,bottom
R8,0,R_0402_1005Metric,116.228527,-88.827546,90.0,bottom
R9,0,R_0402_1005Metric,109.040327,-106.556746,90.0,bottom
R10,0,R_0402_1005Metric,109.040327,-104.067546,90.0,bottom
R11,0,R_0402_1005Metric,109.040327,-101.527546,90.0,bottom
R12,0,R_0402_1005Metric,109.040327,-98.987546,90.0,bottom
R13,0,R_0402_1005Metric,109.040327,-96.447546,90.0,bottom
R14,0,R_0402_1005Metric,109.040327,-93.907546,90.0,bottom
R15,0,R_0402_1005Metric,109.040327,-91.367546,90.0,bottom
R16,0,R_0402_1005Metric,109.040327,-88.827546,90.0,bottom
R17,0,R_0402_1005Metric,110.919927,-106.556746,90.0,bottom
R18,0,R_0402_1005Metric,110.919927,-104.067546,90.0,bottom
R19,0,R_0402_1005Metric,110.919927,-101.527546,90.0,bottom
R20,0,R_0402_1005Metric,110.919927,-98.987546,90.0,bottom
R21,0,R_0402_1005Metric,110.919927,-96.447546,90.0,bottom
R22,0,R_0402_1005Metric,110.919927,-93.907546,90.0,bottom
R23,0,R_0402_1005Metric,110.919927,-91.367546,90.0,bottom
R24,0,R_0402_1005Metric,110.919927,-88.827546,90.0,bottom
R25,0,R_0402_1005Metric,112.596327,-106.556746,90.0,bottom
R26,0,R_0402_1005Metric,112.596327,-104.067546,90.0,bottom
R27,0,R_0402_1005Metric,112.596327,-101.527546,90.0,bottom
R28,0,R_0402_1005Metric,112.596327,-98.987546,90.0,bottom
R29,0,R_0402_1005Metric,112.596327,-96.447546,90.0,bottom
R30,0,R_0402_1005Metric,112.596327,-93.907546,90.0,bottom
R31,0,R_0402_1005Metric,112.596327,-91.367546,90.0,bottom
R32,0,R_0402_1005Metric,112.596327,-88.827546,90.0,bottom
R33,0,R_0402_1005Metric,114.577527,-106.556746,90.0,bottom
R34,0,R_0402_1005Metric,114.577527,-104.067546,90.0,bottom
R35,0,R_0402_1005Metric,114.577527,-101.527546,90.0,bottom
R36,0,R_0402_1005Metric,114.577527,-98.987546,90.0,bottom
R37,0,R_0402_1005Metric,114.577527,-96.447546,90.0,bottom
R38,0,R_0402_1005Metric,114.577527,-93.907546,90.0,bottom
R39,0,R_0402_1005Metric,114.577527,-91.367546,90.0,bottom
R40,0,R_0402_1005Metric,114.577527,-88.827546,90.0,bottom
U1,L293D,SOIC-16W_5.3x10.2mm_P1.27mm,125.2822,-96.637,90.0,top
