Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,206.8576,-115.062,0.0,bottom
C2,47u,CP_Elec_5x5.4,199.8218,-106.6292,90.0,bottom
C3,100n,C_0402_1005Metric,209.7278,-117.856,90.0,bottom
C4,100n,C_0402_1005Metric,205.613,-106.7054,0.0,bottom
C5,22u,CP_Elec_5x5.4,204.6732,-111.379,270.0,bottom
D1,DIO0,LED_0805_2012Metric,90.8608,-66.2208,-90.0,top
D2,DIO0,LED_0805_2012Metric,90.9116,-73.5318,-90.0,top
D3,DIO0,LED_0805_2012Metric,91.0906,-80.8724,-90.0,top
D4,DIO0,LED_0805_2012Metric,91.0906,-88.213,-90.0,top
D5,DIO0,LED_0805_2012Metric,91.0906,-95.5536,-90.0,top
D6,DIO0,LED_0805_2012Metric,91.0906,-102.945,-90.0,top
D7,DIO0,LED_0805_2012Metric,91.0906,-110.3622,-90.0,top
D8,DIO0,LED_0805_2012Metric,91.0906,-117.7278,-90.0,top
D9,LED,LED_0805_2012Metric,101.5362,-133.0096,90.0,top
D10,LED,LED_0805_2012Metric,104.5462,-133.0096,90.0,top
D11,LED,LED_0805_2012Metric,107.5562,-133.0096,90.0,top
D12,LED,LED_0805_2012Metric,110.5662,-133.0096,90.0,top
D13,LED,LED_0805_2012Metric,113.5762,-133.0096,90.0,top
D14,15V,D_0402_1005Metric,178.4509,-111.0837,90.0,bottom
IC1,RY8310,SOT-23-6,207.3656,-117.8814,270.0,bottom
J1,Barrel_Jack_Switch,BarrelJack_10A,165.0,-111.0,90.0,bottom
J2,Conn_02x10_Odd_Even,PinSocket_2x10_P2.54mm_Vertical,107.656,-91.875,0.0,top
J3,Conn_02x08_Odd_Even,IDC-Header_2x08_P2.54mm_Vertical_SMD,181.483,-91.948,0.0,bottom
J6,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,194.016,-91.89,0.0,top
J8,Conn_02x10_Odd_Even,IDC-Header_2x10_P2.54mm_Vertical_SMD,122.418,-91.948,0.0,bottom
J9,Conn_02x03_Odd_Even,IDC-Header_2x03_P2.54mm_Vertical_SMD,122.418,-118.11,0.0,bottom
L1,4.7u,L_0630,211.3534,-111.9632,90.0,bottom
Q1,NPN,TSOT-23,94.8888,-66.2008,0.0,bottom
Q2,NPN,TSOT-23,94.9396,-73.5118,0.0,bottom
Q3,NPN,TSOT-23,95.1186,-80.8524,0.0,bottom
Q4,NPN,TSOT-23,95.1186,-88.193,0.0,bottom
Q5,NPN,TSOT-23,95.1186,-95.5336,0.0,bottom
Q6,NPN,TSOT-23,95.1186,-102.925,0.0,bottom
Q7,NPN,TSOT-23,95.1186,-110.3422,0.0,bottom
Q8,NPN,TSOT-23,95.1186,-117.7078,0.0,bottom
Q9,AO3401A,SOT-23,175.8188,-110.998,180.0,bottom
R1,100K,R_0603_1608Metric,92.7552,-63.635,0.0,bottom
R2,1K2,R_0603_1608Metric,91.3582,-68.969,180.0,top
R3,100k,R_0603_1608Metric,88.234,-77.1944,180.0,top
R4,100K,R_0603_1608Metric,92.806,-70.9206,0.0,bottom
R5,1K2,R_0603_1608Metric,91.409,-76.28,180.0,top
R6,100k,R_0603_1608Metric,88.1938,-84.5312,180.0,top
R7,100K,R_0603_1608Metric,92.985,-78.1996,0.0,bottom
R8,1K2,R_0603_1608Metric,91.588,-83.6352,180.0,top
R9,100k,R_0603_1608Metric,88.1844,-91.8712,180.0,top
R10,100K,R_0603_1608Metric,92.985,-85.572,0.0,bottom
R11,1K2,R_0603_1608Metric,91.588,-90.9822,180.0,top
R12,100k,R_0603_1608Metric,88.1844,-99.2182,180.0,top
R13,100K,R_0603_1608Metric,92.985,-92.8936,0.0,bottom
R14,1K2,R_0603_1608Metric,91.588,-98.3292,180.0,top
R15,100k,R_0603_1608Metric,88.159,-106.6414,180.0,top
R16,100K,R_0603_1608Metric,92.985,-100.266,0.0,bottom
R17,1K2,R_0603_1608Metric,104.069,-129.159,90.0,top
R18,1K2,R_0603_1608Metric,105.819001,-129.159,90.0,top
R19,1K2,R_0603_1608Metric,107.569,-129.159,90.0,top
R20,1K2,R_0603_1608Metric,109.318999,-129.159,90.0,top
R21,1K2,R_0603_1608Metric,111.069,-129.159,90.0,top
R22,1K2,R_0603_1608Metric,91.588,-105.727,180.0,top
R23,100k,R_0603_1608Metric,88.1832,-69.858,180.0,top
R24,100k,R_0603_1608Metric,88.1844,-114.0142,180.0,top
R25,100K,R_0603_1608Metric,92.985,-107.6642,0.0,bottom
R26,1K2,R_0603_1608Metric,91.5732,-113.1506,180.0,top
R27,100k,R_0603_1608Metric,88.1844,-121.3862,180.0,top
R28,100K,R_0603_1608Metric,92.985,-114.8838,0.0,bottom
R29,1K2,R_0603_1608Metric,91.588,-120.4718,180.0,top
R30,0,R_0603_1608Metric,172.466,-88.138,180.0,bottom
R31,0,R_0603_1608Metric,172.466,-90.678,180.0,bottom
R32,0,R_0603_1608Metric,198.374,-95.758,0.0,bottom
R33,0,R_0603_1608Metric,198.374,-90.678,0.0,bottom
R34,100k,R_0402_1005Metric,176.2252,-108.6104,0.0,bottom
R35,52k50,R_0402_1005Metric,204.9526,-116.9416,90.0,bottom
R36,10k,R_0402_1005Metric,204.9526,-118.9736,90.0,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-73.5118,0.0,top
SW2,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-66.2008,0.0,top
SW3,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-80.8524,0.0,top
SW4,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-88.193,0.0,top
SW5,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-95.5336,0.0,top
SW6,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-102.925,0.0,top
SW7,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-110.3422,0.0,top
SW8,SW_Push,SW_SPST_SKQG_WithStem,84.2568,-117.7078,0.0,top
U1,TBA2-1222,Converter_DCDC_TRACO_TBA2-xxxx_Dual_THT,204.8493,-92.0511,180.0,bottom
